試行回数	ノード	ノード間距離
397	528	0.0
398	383	0.0
399	434	0.0
400	426	0.0
401	366	0.0
402	285	0.0
403	337	0.0
404	417	0.0
405	792	0.0
406	505	0.0
407	247	0.0
408	610	0.0
409	335	0.0
410	660	0.0
411	341	0.0
412	578	0.0
413	331	0.0
414	382	0.0
415	763	0.0
416	684	0.0
417	344	0.0
418	126	0.0
419	287	0.0
420	536	0.0
421	254	0.0
422	124	0.0
423	387	0.0
424	630	0.0
425	401	0.0
426	435	0.0
427	392	0.0
428	564	0.0
429	590	0.0
430	504	0.0
431	445	0.0
432	476	0.0
433	530	0.0
434	738	0.0
435	464	0.0
436	365	0.0
437	722	0.0
438	556	0.0
439	731	0.0
440	665	0.0
441	614	0.0
442	212	0.0
443	441	0.0
444	160	0.0
445	359	0.0
446	546	0.0
447	550	0.0
448	471	0.0
449	667	0.0
450	420	0.0
451	555	0.0
452	229	0.0
453	184	0.0
454	589	0.0
455	244	0.0
456	372	0.0
457	370	0.0
458	258	0.0
459	681	0.0
460	483	0.0
461	493	0.0
462	406	0.0
463	776	0.0
464	240	0.0
465	622	0.0
466	394	0.0
467	481	0.0
468	297	0.0
469	498	0.0
470	509	0.0
471	414	0.0
472	398	0.0
473	566	0.0
474	204	0.0
475	436	0.0
476	514	0.0
477	644	0.0
478	423	0.0
479	497	0.0
480	191	0.0
481	470	0.0
482	362	0.0
483	823	0.0
484	299	0.0
485	97	0.0
486	515	0.0
487	361	0.0
488	410	0.0
489	522	0.0
490	264	0.0
491	685	0.0
492	588	0.0
493	648	0.0
494	141	0.0
495	439	0.0
496	465	0.0
497	201	0.0
498	697	0.0
499	231	0.0
500	399	0.0
501	668	0.0
502	675	0.0
503	338	0.0
504	459	0.0
505	519	0.0
506	693	0.0
507	256	0.0
508	228	0.0
509	608	0.0
510	656	0.0
511	694	0.0
512	421	0.0
513	484	0.0
514	369	0.0
515	248	0.0
516	456	0.0
517	451	0.0
518	780	0.0
519	755	0.0
520	251	0.0
521	688	0.0
522	628	0.0
523	485	0.0
524	521	0.0
525	570	0.0
526	635	0.0
527	565	0.0
528	507	0.0
529	450	0.0
530	756	0.0
531	499	0.0
532	609	0.0
533	713	0.0
534	752	0.0
535	491	0.0
536	458	0.0
537	294	0.0
538	646	0.0
539	586	0.0
540	533	0.0
541	345	0.0
542	699	0.0
543	816	0.0
544	670	0.0
545	593	0.0
546	534	0.0
547	616	0.0
548	704	0.0
549	419	0.0
550	669	0.0
551	347	0.0
552	729	0.0
553	568	0.0
554	896	0.0
555	770	0.0
556	480	0.0
557	615	0.0
558	854	0.0
559	402	0.0
560	198	0.0
561	706	0.0
562	512	0.0
563	560	0.0
564	403	0.0
565	524	0.0
566	605	0.0
567	592	0.0
568	428	0.0
569	558	0.0
570	346	0.0
571	541	0.0
572	604	0.0
573	703	0.0
574	724	0.0
575	676	0.0
576	452	0.0
577	554	0.0
578	779	0.0
579	500	0.0
580	1087	0.0
581	257	0.0
582	673	0.0
583	301	0.0
584	709	0.0
585	448	0.0
586	825	0.0
587	425	0.0
588	404	0.0
589	597	0.0
590	799	0.0
591	774	0.0
592	479	0.0
593	769	0.0
594	563	0.0
595	488	0.0
596	508	0.0
597	424	0.0
598	594	0.0
599	180	0.0
600	323	0.0
601	1011	0.0
602	472	0.0
603	446	0.0
604	474	0.0
605	607	0.0
606	1136	0.0
607	552	0.0
608	146	0.0
